"Timestamp","RunId","Step","StepMs","TotalMs"
"2026-02-12 11:12:55","20260212_111255_482","Startup-TempCleanup (deleted=0 failed=0)","62.19","213.24"
"2026-02-12 11:13:57","20260212_111357_621","Load-Config","100.45","191.02"
"2026-02-12 11:13:57","20260212_111357_621","Apply-UiTheme","26.03","191.02"
"2026-02-12 11:13:57","20260212_111357_621","Ensure-Folders","5.11","191.02"
"2026-02-12 11:13:57","20260212_111357_621","Startup-TempCleanup (deleted=0 failed=0)","59.22","191.02"
"2026-02-12 11:17:23","20260212_111723_691","Load-Config","108.48","203.13"
"2026-02-12 11:17:23","20260212_111723_691","Apply-UiTheme","25.18","203.13"
"2026-02-12 11:17:23","20260212_111723_691","Ensure-Folders","6.75","203.13"
"2026-02-12 11:17:23","20260212_111723_691","Startup-TempCleanup (deleted=0 failed=0)","62.56","203.13"
"2026-02-12 11:24:01","20260212_112401_214","Load-Config","105.81","197.81"
"2026-02-12 11:24:01","20260212_112401_214","Apply-UiTheme","25.9","197.81"
"2026-02-12 11:24:01","20260212_112401_214","Ensure-Folders","5.39","197.81"
"2026-02-12 11:24:01","20260212_112401_214","Startup-TempCleanup (deleted=0 failed=0)","60.55","197.81"
"2026-02-12 11:30:52","20260212_113052_003","Load-Config","101.56","209.03"
"2026-02-12 11:30:52","20260212_113052_003","Apply-UiTheme","25.31","209.03"
"2026-02-12 11:30:52","20260212_113052_003","Ensure-Folders","7.97","209.03"
"2026-02-12 11:30:52","20260212_113052_003","Startup-TempCleanup (deleted=0 failed=0)","74.04","209.03"
"2026-02-12 12:53:47","20260212_125347_065","Load-Config","176.85","357.76"
"2026-02-12 12:53:47","20260212_125347_065","Apply-UiTheme","42.14","357.76"
"2026-02-12 12:53:47","20260212_125347_065","Ensure-Folders","7.3","357.76"
"2026-02-12 12:53:47","20260212_125347_065","Startup-TempCleanup (deleted=0 failed=0)","131.25","357.76"
"2026-02-12 13:24:32","20260212_132432_219","Load-Config","91.45","216.36"
"2026-02-12 13:24:32","20260212_132432_219","Apply-UiTheme","41.2","216.36"
"2026-02-12 13:24:32","20260212_132432_219","Ensure-Folders","9.5","216.36"
"2026-02-12 13:24:32","20260212_132432_219","Startup-TempCleanup (deleted=0 failed=0)","73.97","216.36"
"2026-02-12 13:32:33","20260212_133233_475","Load-Config","126.08","235.21"
"2026-02-12 13:32:33","20260212_133233_475","Apply-UiTheme","34.21","235.21"
"2026-02-12 13:32:33","20260212_133233_475","Ensure-Folders","7.44","235.21"
"2026-02-12 13:32:33","20260212_133233_475","Startup-TempCleanup (deleted=0 failed=0)","67.19","235.21"
"2026-02-12 14:02:40","20260212_140240_569","Load-Config","90.92","179.9"
"2026-02-12 14:02:40","20260212_140240_569","Apply-UiTheme","23.99","179.9"
"2026-02-12 14:02:40","20260212_140240_569","Ensure-Folders","5.6","179.9"
"2026-02-12 14:02:40","20260212_140240_569","Startup-TempCleanup (deleted=0 failed=0)","58.98","179.9"
"2026-02-12 14:05:39","20260212_140539_882","Load-Config","109.42","220.98"
"2026-02-12 14:05:39","20260212_140539_882","Apply-UiTheme","28.59","220.98"
"2026-02-12 14:05:39","20260212_140539_882","Ensure-Folders","11.78","220.98"
"2026-02-12 14:05:39","20260212_140539_882","Startup-TempCleanup (deleted=0 failed=0)","70.86","220.98"
"2026-02-12 14:11:03","20260212_141103_155","Load-Config","94.96","188.43"
"2026-02-12 14:11:03","20260212_141103_155","Apply-UiTheme","25.41","188.43"
"2026-02-12 14:11:03","20260212_141103_155","Ensure-Folders","6.77","188.43"
"2026-02-12 14:11:03","20260212_141103_155","Startup-TempCleanup (deleted=0 failed=0)","60.99","188.43"
"2026-02-12 14:13:49","20260212_141349_001","Load-Config","133.92","274"
"2026-02-12 14:13:49","20260212_141349_001","Apply-UiTheme","41.02","274"
"2026-02-12 14:13:49","20260212_141349_001","Ensure-Folders","9.18","274"
"2026-02-12 14:13:49","20260212_141349_001","Startup-TempCleanup (deleted=0 failed=0)","89.64","274"
"2026-02-12 14:14:14","20260212_141414_863","Load-Config","91.52","182.03"
"2026-02-12 14:14:14","20260212_141414_863","Apply-UiTheme","24.38","182.03"
"2026-02-12 14:14:14","20260212_141414_863","Ensure-Folders","6.18","182.03"
"2026-02-12 14:14:14","20260212_141414_863","Startup-TempCleanup (deleted=0 failed=0)","59.68","182.03"
"2026-02-12 14:16:05","20260212_141605_364","Load-Config","122.94","281.47"
"2026-02-12 14:16:05","20260212_141605_364","Apply-UiTheme","34.56","281.47"
"2026-02-12 14:16:05","20260212_141605_364","Ensure-Folders","10.19","281.47"
"2026-02-12 14:16:05","20260212_141605_364","Startup-TempCleanup (deleted=0 failed=0)","113.47","281.47"
"2026-02-12 14:19:18","20260212_141918_767","Load-Config","125.59","275.26"
"2026-02-12 14:19:18","20260212_141918_767","Apply-UiTheme","28.2","275.26"
"2026-02-12 14:19:18","20260212_141918_767","Ensure-Folders","12.66","275.26"
"2026-02-12 14:19:18","20260212_141918_767","Startup-TempCleanup (deleted=0 failed=0)","108.42","275.26"
"2026-02-12 14:27:31","20260212_142731_010","Load-Config","93.46","190.27"
"2026-02-12 14:27:31","20260212_142731_010","Apply-UiTheme","29.07","190.27"
"2026-02-12 14:27:31","20260212_142731_010","Ensure-Folders","6.21","190.27"
"2026-02-12 14:27:31","20260212_142731_010","Startup-TempCleanup (deleted=0 failed=0)","61.27","190.27"
"2026-02-12 14:30:05","20260212_143005_107","Load-Config","262.31","569.64"
"2026-02-12 14:30:05","20260212_143005_107","Apply-UiTheme","76.18","569.64"
"2026-02-12 14:30:05","20260212_143005_107","Ensure-Folders","18.76","569.64"
"2026-02-12 14:30:05","20260212_143005_107","Startup-TempCleanup (deleted=0 failed=0)","212.13","569.64"
"2026-02-12 14:32:05","20260212_143205_032","Load-Config","141.4","293.84"
"2026-02-12 14:32:05","20260212_143205_032","Apply-UiTheme","38.23","293.84"
"2026-02-12 14:32:05","20260212_143205_032","Ensure-Folders","10.57","293.84"
"2026-02-12 14:32:05","20260212_143205_032","Startup-TempCleanup (deleted=0 failed=0)","102.87","293.84"
"2026-02-12 14:42:14","20260212_144214_675","Load-Config","114.88","255.61"
"2026-02-12 14:42:14","20260212_144214_675","Apply-UiTheme","28.42","255.61"
"2026-02-12 14:42:14","20260212_144214_675","Ensure-Folders","12.63","255.61"
